model,year,odometer,price,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,driveType,state
Model 3,2020,36116.0,30300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,TN
Model 3,2020,35496.0,30400,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",466.0,85305,Black and White Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,15780.0,30500,Autopilot,Previously Repaired,Red Multi-Coat Paint,"18"" Aero Wheels",468.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,20444.0,30500,Autopilot,Previously Repaired,Pearl White Paint,"18"" Aero Wheels",468.0,85305,Black and White Partial Premium Interior, Rear-Wheel Drive,FL
Model 3,2020,29339.0,30600,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",469.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,31550.0,30700,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sport Wheels",471.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,34375.0,30800,Full Self-Driving Capability,Previously Repaired,Pearl White Paint,"18"" Aero Wheels",473.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27699.0,30800,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",473.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,27678.0,30800,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",473.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27784.0,30800,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",473.0,85305,Black and White Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,26859.0,30900,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",475.0,85305,Black and White Partial Premium Interior, Rear-Wheel Drive,MN
Model 3,2020,32345.0,31000,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",477.0,85305,Black and White Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27832.0,31000,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",477.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,GA
Model 3,2020,30086.0,31100,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",478.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,NJ
Model 3,2020,30215.0,31100,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"18"" Aero Wheels",478.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,GA
Model 3,2020,4829.0,31100,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",478.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,IL
Model 3,2020,31582.0,31100,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",478.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,21801.0,31200,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"19"" Sport Wheels",480.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,17484.0,31400,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",484.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,NJ
Model 3,2020,28419.0,31400,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"18"" Aero Wheels",484.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,IL
Model 3,2020,27290.0,31400,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",484.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,15154.0,31500,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",486.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27650.0,31500,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",486.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,29415.0,31500,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",486.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,GA
Model 3,2020,33596.0,30800,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",473.0,85704,All Black Partial Premium Interior, Rear-Wheel Drive,AZ
Model 3,2020,10649.0,32000,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"19"" Sport Wheels",495.0,85704,Black and White Partial Premium Interior, Rear-Wheel Drive,AZ
Model 3,2020,15911.0,33200,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",516.0,85704,All Black Partial Premium Interior, Rear-Wheel Drive,AZ
